idx,date,odometr,diff,state,driverId
,2026-04-26T04:46:37.056Z,845073,771309,NY,96652
,2026-04-26T04:47:37.059Z,845074,1,NY,96652
,2026-04-26T04:48:40.062Z,845075,1,NY,96652
,2026-04-26T04:49:40.070Z,845076,1,NY,96652
,2026-04-26T04:50:43.064Z,845077,1,NY,96652
,2026-04-26T04:51:43.068Z,845078,1,NY,96652
,2026-04-26T04:52:46.072Z,845080,2,NY,96652
,2026-04-26T04:53:46.071Z,559865,-285215,NY,96652
,2026-04-26T04:54:46.069Z,340942,-218923,NY,96652
,2026-04-26T04:55:46.070Z,845083,504141,NY,96652
,2026-04-26T04:56:49.062Z,591139,-253944,NY,96652
,2026-04-26T04:57:52.058Z,845085,253946,NY,96652
,2026-04-26T04:59:52.067Z,845088,3,NY,96652
,2026-04-26T05:00:55.066Z,845089,1,NY,96652
,2026-04-26T05:01:58.067Z,570290,-274799,NY,96652
,2026-04-26T05:05:01.066Z,845094,274804,NY,96652
,2026-04-26T05:06:04.067Z,845095,1,NY,96652
,2026-04-26T05:07:07.057Z,555996,-289099,NY,96652
,2026-04-26T05:08:07.062Z,845097,289101,NY,96652
,2026-04-26T05:09:07.066Z,118151,-726946,NY,96652
,2026-04-26T05:10:07.065Z,201550,83399,NY,96652
,2026-04-26T05:13:16.066Z,201550,0,NY,96652
,2026-04-26T05:14:19.064Z,201550,0,NY,96652
,2026-04-26T05:15:19.073Z,201550,0,NY,96652
,2026-04-26T05:16:22.067Z,845107,643557,NY,96652
,2026-04-26T05:17:25.073Z,45177,-799930,NY,96652
,2026-04-26T05:18:28.068Z,45177,0,NY,96652
,2026-04-26T05:19:28.069Z,45177,0,NY,96652
,2026-04-26T05:20:31.063Z,45177,0,NY,96652
,2026-04-26T05:21:31.066Z,628970,583793,NY,96652
,2026-04-26T05:22:31.116Z,628970,0,NY,96652
,2026-04-26T05:23:34.071Z,628970,0,NY,96652
,2026-04-26T05:24:37.059Z,845116,216146,NY,96652
,2026-04-26T05:26:43.068Z,305799,-539317,NY,96652
,2026-04-26T05:27:46.058Z,845120,539321,NY,96652
,2026-04-26T05:28:46.071Z,472597,-372523,NY,96652
,2026-04-26T05:29:49.072Z,472597,0,NY,96652
,2026-04-26T05:30:52.062Z,472597,0,NY,96652
,2026-04-26T05:31:52.059Z,472597,0,NY,96652
,2026-04-26T05:32:52.065Z,760625,288028,NY,96652
,2026-04-26T05:33:55.063Z,845127,84502,NY,96652
,2026-04-26T05:34:55.065Z,845128,1,NY,96652
,2026-04-26T05:35:55.075Z,845130,2,NY,96652
