idx,date,odometr,diff,state,driverId
,2026-04-07T15:42:10.110Z,738307,1,IL,20141
,2026-04-07T15:43:13.104Z,738308,1,IL,20141
,2026-04-07T15:44:16.118Z,738309,1,IL,20141
,2026-04-07T15:45:19.104Z,738310,1,IL,20141
,2026-04-07T15:46:22.100Z,738311,1,IL,20141
,2026-04-07T15:47:25.137Z,738312,1,IL,20141
,2026-04-07T15:48:28.096Z,738314,2,IL,20141
,2026-04-07T15:49:28.106Z,738315,1,IL,20141
,2026-04-07T15:50:31.095Z,738316,1,IL,20141
,2026-04-07T15:51:31.104Z,738317,1,IL,20141
,2026-04-07T15:52:34.115Z,738318,1,IL,20141
,2026-04-07T15:53:37.097Z,738319,1,IL,20141
,2026-04-07T15:54:40.099Z,738320,1,IL,20141
,2026-04-07T15:55:43.108Z,738321,1,IL,20141
,2026-04-07T15:57:49.106Z,738323,2,IL,20141
,2026-04-07T15:58:52.107Z,738325,2,IL,20141
,2026-04-07T15:59:55.121Z,738326,1,IL,20141
,2026-04-07T16:00:58.102Z,738327,1,IL,20141
,2026-04-07T16:01:58.109Z,738328,1,IL,20141
,2026-04-07T16:03:01.105Z,738329,1,IL,20141
,2026-04-07T16:04:04.106Z,738330,1,IL,20141
,2026-04-07T16:05:07.102Z,738331,1,IL,20141
,2026-04-07T16:07:10.104Z,738334,3,IL,20141
,2026-04-07T16:08:10.111Z,738335,1,IL,20141
,2026-04-07T16:09:13.106Z,738336,1,IL,20141
,2026-04-07T16:10:16.108Z,738337,1,IL,20141
,2026-04-07T16:11:19.103Z,738339,2,IL,20141
,2026-04-07T16:12:19.109Z,738340,1,IL,20141
,2026-04-07T16:13:22.109Z,738341,1,IL,20141
,2026-04-07T16:15:28.109Z,738343,2,IL,20141
,2026-04-07T16:16:31.110Z,738345,2,IL,20141
,2026-04-07T16:17:34.095Z,738346,1,IL,20141
,2026-04-07T16:18:37.104Z,738347,1,IL,20141
,2026-04-07T16:19:39.108Z,738348,1,IL,20141
,2026-04-07T16:20:39.107Z,738349,1,IL,20141
,2026-04-07T16:21:42.111Z,738350,1,IL,20141
,2026-04-07T16:22:45.112Z,738352,2,IL,20141
,2026-04-07T16:23:48.092Z,738353,1,IL,20141
,2026-04-07T16:24:48.122Z,738354,1,IL,20141
,2026-04-07T16:25:51.117Z,738355,1,IL,20141
,2026-04-07T16:26:54.110Z,738356,1,IL,20141
,2026-04-07T16:27:57.109Z,738357,1,IL,20141
,2026-04-07T16:29:00.113Z,738358,1,IL,20141
,2026-04-07T16:30:03.114Z,738359,1,IL,20141
,2026-04-07T16:31:06.111Z,738360,1,IL,20141
,2026-04-07T16:32:09.105Z,738361,1,IL,20141
,2026-04-07T16:33:09.110Z,738362,1,IL,20141
,2026-04-07T16:34:10.111Z,738362,0,IL,20141
,2026-04-07T16:35:13.113Z,738363,1,IL,20141
,2026-04-07T16:36:13.120Z,738364,1,IL,20141
,2026-04-07T16:37:16.104Z,738365,1,IL,20141
,2026-04-07T16:38:16.116Z,738366,1,IL,20141
,2026-04-07T16:40:22.109Z,738368,2,IL,20141
,2026-04-07T16:41:25.115Z,738369,1,IL,20141
,2026-04-07T16:43:31.121Z,738372,3,IA,20141
,2026-04-07T16:44:34.110Z,738373,1,IA,20141
,2026-04-07T16:45:37.112Z,738374,1,IA,20141
,2026-04-07T16:46:40.122Z,738375,1,IA,20141
,2026-04-07T16:47:43.116Z,738376,1,IA,20141
,2026-04-07T16:48:46.114Z,738377,1,IA,20141
,2026-04-07T16:49:49.113Z,738378,1,IA,20141
,2026-04-07T16:50:49.127Z,738379,1,IA,20141
,2026-04-07T16:51:52.119Z,738381,2,IA,20141
,2026-04-07T16:52:55.111Z,738382,1,IA,20141
,2026-04-07T16:53:58.118Z,738383,1,IA,20141
,2026-04-07T16:54:59.128Z,738384,1,IA,20141
,2026-04-07T16:56:01.119Z,738385,1,IA,20141
,2026-04-07T16:57:04.112Z,738386,1,IA,20141
,2026-04-07T16:58:07.119Z,738387,1,IA,20141
,2026-04-07T16:59:10.108Z,738388,1,IA,20141
,2026-04-07T17:00:13.109Z,738389,1,IA,20141
,2026-04-07T17:02:19.113Z,738392,3,IA,20141
,2026-04-07T17:03:22.108Z,738393,1,IA,20141
,2026-04-07T17:04:25.119Z,738394,1,IA,20141
,2026-04-07T17:05:28.113Z,738395,1,IA,20141
,2026-04-07T17:06:31.115Z,738396,1,IA,20141
,2026-04-07T17:07:34.109Z,738397,1,IA,20141
,2026-04-07T17:08:37.119Z,738399,2,IA,20141
,2026-04-07T17:09:40.120Z,738400,1,IA,20141
